CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,main,description,temp,pressure,humidity,sea_level,temp_max,temp_min,grnd_level,wind_speed,Region starting 2016,Region until 2017
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,Western Europe,12209,Germany,030-0074321,030-0076545,Clear,clear sky,23.36,1012.0,48.0,1012.0,24.45,22.75,1007.0,4.63,Germany,Europe
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico,(5) 555-4729,(5) 555-3745,Clouds,scattered clouds,13.83,1021.0,71.0,1021.0,16.14,13.83,767.0,1.79,Brazil,USA
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,Central America,05023,Mexico,(5) 555-3932,,Clouds,scattered clouds,13.83,1021.0,71.0,1021.0,16.14,13.83,767.0,1.79,Brazil,USA
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,British Isles,WA1 1DP,UK,(171) 555-7788,(171) 555-6750,Clouds,scattered clouds,23.83,1017.0,57.0,1017.0,25.23,22.82,1013.0,4.02,UK,Europe
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,0921-12 34 65,0921-12 34 67,Clear,clear sky,24.06,1013.0,57.0,1013.0,24.06,24.06,1011.0,5.66,Sweden,Europe
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,Western Europe,68306,Germany,0621-08460,0621-08924,Clear,clear sky,22.43,1016.0,51.0,1016.0,23.31,21.64,1003.0,4.12,Germany,Europe
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,Western Europe,67000,France,88.60.15.31,88.60.15.32,Clouds,broken clouds,22.85,1017.0,53.0,1017.0,23.34,19.02,1001.0,3.6,France,Europe
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,Southern Europe,28023,Spain,(91) 555 22 82,(91) 555 91 99,Clear,clear sky,30.99,1016.0,23.0,1016.0,32.17,30.15,943.0,2.06,Spain,Europe
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,Western Europe,13008,France,91.24.45.40,91.24.45.41,Clear,clear sky,29.19,1013.0,24.0,1013.0,32.07,29.19,1007.0,6.69,France,Europe
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745,,,,,,,,,,,USA,USA
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,British Isles,EC2 5NT,UK,(171) 555-1212,,Clouds,scattered clouds,23.83,1017.0,57.0,1017.0,25.23,22.82,1013.0,4.02,UK,Europe
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,South America,1010,Argentina,(1) 135-5555,(1) 135-4892,Clear,clear sky,14.77,1020.0,63.0,1020.0,15.54,13.83,1019.0,5.14,Brazil,USA
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico,(5) 555-3392,(5) 555-7293,Clouds,scattered clouds,13.83,1021.0,71.0,1021.0,16.14,13.83,767.0,1.79,Brazil,USA
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,Western Europe,3012,Switzerland,0452-076545,,Clouds,broken clouds,19.78,1018.0,70.0,1018.0,21.38,19.58,947.0,3.09,Germany,Europe
